topic_a,topic_b,cosign_similarity,id,dataset_id,date,alpha,id,dataset_id,date,alpha
16059,15352,0.68188,16059,2,2012-09-08,0.188846,15352,2,2012-09-01,0.126367
16684,15364,0.669091,16684,2,2012-09-14,0.043034,15364,2,2012-09-01,0.048724
16081,15381,0.667424,16081,2,2012-09-08,0.0458,15381,2,2012-09-01,0.038261
15689,15364,0.664635,15689,2,2012-09-04,0.042302,15364,2,2012-09-01,0.048724
16597,15352,0.660656,16597,2,2012-09-13,0.067574,15352,2,2012-09-01,0.126367
15588,15385,0.655739,15588,2,2012-09-03,0.18502,15385,2,2012-09-01,0.324163
15842,15364,0.651497,15842,2,2012-09-06,0.019005,15364,2,2012-09-01,0.048724
15485,15385,0.648178,15485,2,2012-09-02,0.252242,15385,2,2012-09-01,0.324163
16270,15364,0.627072,16270,2,2012-09-10,0.019816,15364,2,2012-09-01,0.048724
15677,15381,0.617127,15677,2,2012-09-04,0.012767,15381,2,2012-09-01,0.038261
16624,15345,0.591102,16624,2,2012-09-14,0.072506,15345,2,2012-09-01,0.170566
16172,15385,0.586954,16172,2,2012-09-09,0.096152,15385,2,2012-09-01,0.324163
16275,15352,0.577475,16275,2,2012-09-10,0.294309,15352,2,2012-09-01,0.126367
16709,15352,0.562851,16709,2,2012-09-15,0.148052,15352,2,2012-09-01,0.126367
16094,15385,0.561991,16094,2,2012-09-08,0.257595,15385,2,2012-09-01,0.324163
16353,15387,0.559174,16353,2,2012-09-11,0.014256,15387,2,2012-09-01,0.01504
15879,15352,0.558956,15879,2,2012-09-06,0.019076,15352,2,2012-09-01,0.126367
16446,15364,0.546608,16446,2,2012-09-12,0.028894,15364,2,2012-09-01,0.048724
16642,15364,0.546166,16642,2,2012-09-14,0.022311,15364,2,2012-09-01,0.048724
16237,15374,0.543546,16237,2,2012-09-10,0.411932,15374,2,2012-09-01,0.538701
16698,15374,0.53838,16698,2,2012-09-14,0.35936,15374,2,2012-09-01,0.538701
15927,15374,0.532855,15927,2,2012-09-07,0.380004,15374,2,2012-09-01,0.538701
16341,15381,0.530899,16341,2,2012-09-11,0.012725,15381,2,2012-09-01,0.038261
15692,15374,0.527194,15692,2,2012-09-04,0.40164,15374,2,2012-09-01,0.538701
16450,15374,0.524018,16450,2,2012-09-12,0.37094,15374,2,2012-09-01,0.538701
16638,15385,0.520024,16638,2,2012-09-14,0.030799,15385,2,2012-09-01,0.324163
16196,15374,0.518946,16196,2,2012-09-09,0.443708,15374,2,2012-09-01,0.538701
16380,15374,0.51178,16380,2,2012-09-11,0.377272,15374,2,2012-09-01,0.538701
16581,15345,0.506968,16581,2,2012-09-13,0.166898,15345,2,2012-09-01,0.170566
16409,15345,0.498963,16409,2,2012-09-12,0.029975,15345,2,2012-09-01,0.170566
16275,15385,0.495417,16275,2,2012-09-10,0.294309,15385,2,2012-09-01,0.324163
16482,15381,0.49363,16482,2,2012-09-12,0.010606,15381,2,2012-09-01,0.038261
16546,15381,0.490332,16546,2,2012-09-13,0.021724,15381,2,2012-09-01,0.038261
15788,15352,0.487381,15788,2,2012-09-05,0.006879,15352,2,2012-09-01,0.126367
15905,15377,0.480879,15905,2,2012-09-07,0.130741,15377,2,2012-09-01,0.033
16644,15302,0.47921,16644,2,2012-09-14,0.012169,15302,2,2012-09-01,0.045076
15417,15374,0.47871,15417,2,2012-09-02,0.368003,15374,2,2012-09-01,0.538701
16791,15368,0.475572,16791,2,2012-09-15,0.022424,15368,2,2012-09-01,0.021968
15862,15374,0.46913,15862,2,2012-09-06,0.346445,15374,2,2012-09-01,0.538701
16058,15374,0.468261,16058,2,2012-09-08,0.299688,15374,2,2012-09-01,0.538701
15506,15374,0.467446,15506,2,2012-09-03,0.35908,15374,2,2012-09-01,0.538701
15698,15312,0.467108,15698,2,2012-09-04,0.045804,15312,2,2012-09-01,0.030701
15928,15364,0.466078,15928,2,2012-09-07,0.038474,15364,2,2012-09-01,0.048724
15771,15374,0.455405,15771,2,2012-09-05,0.438774,15374,2,2012-09-01,0.538701
16623,15377,0.455228,16623,2,2012-09-14,0.047143,15377,2,2012-09-01,0.033
16116,15377,0.452942,16116,2,2012-09-09,0.060104,15377,2,2012-09-01,0.033
15815,15368,0.452341,15815,2,2012-09-06,0.017728,15368,2,2012-09-01,0.021968
16242,15345,0.451394,16242,2,2012-09-10,0.058515,15345,2,2012-09-01,0.170566
15606,15352,0.45091,15606,2,2012-09-04,0.019806,15352,2,2012-09-01,0.126367
16680,15381,0.444527,16680,2,2012-09-14,0.016864,15381,2,2012-09-01,0.038261
16510,15374,0.442141,16510,2,2012-09-13,0.390616,15374,2,2012-09-01,0.538701
16772,15374,0.422027,16772,2,2012-09-15,0.614512,15374,2,2012-09-01,0.538701
15488,15312,0.420178,15488,2,2012-09-02,0.047546,15312,2,2012-09-01,0.030701
15820,15364,0.420016,15820,2,2012-09-06,0.01478,15364,2,2012-09-01,0.048724
16240,15377,0.413935,16240,2,2012-09-10,0.019912,15377,2,2012-09-01,0.033
16518,15377,0.413567,16518,2,2012-09-13,0.364993,15377,2,2012-09-01,0.033
16193,15377,0.412291,16193,2,2012-09-09,0.013216,15377,2,2012-09-01,0.033
15907,15364,0.409211,15907,2,2012-09-07,0.015065,15364,2,2012-09-01,0.048724
16586,15324,0.409002,16586,2,2012-09-13,0.021108,15324,2,2012-09-01,0.039487
15966,15368,0.407454,15966,2,2012-09-07,0.006129,15368,2,2012-09-01,0.021968
16585,15385,0.403865,16585,2,2012-09-13,0.0692,15385,2,2012-09-01,0.324163
15513,15364,0.403264,15513,2,2012-09-03,0.034209,15364,2,2012-09-01,0.048724
15580,15318,0.394209,15580,2,2012-09-03,0.042132,15318,2,2012-09-01,0.060858
15696,15345,0.391425,15696,2,2012-09-04,0.056959,15345,2,2012-09-01,0.170566
15791,15374,0.386207,15791,2,2012-09-05,0.338319,15374,2,2012-09-01,0.538701
15465,15318,0.384708,15465,2,2012-09-02,0.064983,15318,2,2012-09-01,0.060858
16644,15364,0.383275,16644,2,2012-09-14,0.012169,15364,2,2012-09-01,0.048724
15425,15321,0.381755,15425,2,2012-09-02,0.014456,15321,2,2012-09-01,0.029015
16250,15352,0.37751,16250,2,2012-09-10,0.037304,15352,2,2012-09-01,0.126367
16689,15364,0.37733,16689,2,2012-09-14,0.007738,15364,2,2012-09-01,0.048724
16162,15374,0.37658,16162,2,2012-09-09,0.266011,15374,2,2012-09-01,0.538701
16306,15377,0.374022,16306,2,2012-09-11,0.197945,15377,2,2012-09-01,0.033
16045,15361,0.37309,16045,2,2012-09-08,0.014785,15361,2,2012-09-01,0.015168
15475,15364,0.37265,15475,2,2012-09-02,0.014711,15364,2,2012-09-01,0.048724
15702,15368,0.37229,15702,2,2012-09-05,0.009348,15368,2,2012-09-01,0.021968
15725,15324,0.371253,15725,2,2012-09-05,0.082504,15324,2,2012-09-01,0.039487
15799,15381,0.370521,15799,2,2012-09-05,0.0116,15381,2,2012-09-01,0.038261
16605,15364,0.37024,16605,2,2012-09-14,0.002566,15364,2,2012-09-01,0.048724
15802,15377,0.369653,15802,2,2012-09-06,0.253636,15377,2,2012-09-01,0.033
16354,15374,0.367898,16354,2,2012-09-11,0.382718,15374,2,2012-09-01,0.538701
16696,15333,0.367701,16696,2,2012-09-14,0.024421,15333,2,2012-09-01,0.015547
15898,15395,0.367638,15898,2,2012-09-06,0.015425,15395,2,2012-09-01,0.030543
15923,15345,0.367538,15923,2,2012-09-07,0.006065,15345,2,2012-09-01,0.170566
15629,15317,0.364299,15629,2,2012-09-04,0.009297,15317,2,2012-09-01,0.029217
15602,15377,0.363053,15602,2,2012-09-04,0.008403,15377,2,2012-09-01,0.033
16025,15349,0.361441,16025,2,2012-09-08,0.015291,15349,2,2012-09-01,0.029857
16127,15333,0.359411,16127,2,2012-09-09,0.035821,15333,2,2012-09-01,0.015547
16144,15324,0.357724,16144,2,2012-09-09,0.00985,15324,2,2012-09-01,0.039487
15581,15302,0.357541,15581,2,2012-09-03,0.029233,15302,2,2012-09-01,0.045076
15725,15345,0.356626,15725,2,2012-09-05,0.082504,15345,2,2012-09-01,0.170566
16565,15318,0.354621,16565,2,2012-09-13,0.05467,15318,2,2012-09-01,0.060858
15570,15312,0.353449,15570,2,2012-09-03,0.067719,15312,2,2012-09-01,0.030701
16421,15333,0.353164,16421,2,2012-09-12,0.046771,15333,2,2012-09-01,0.015547
15532,15374,0.352341,15532,2,2012-09-03,0.161499,15374,2,2012-09-01,0.538701
15882,15312,0.350835,15882,2,2012-09-06,0.036119,15312,2,2012-09-01,0.030701
15743,15344,0.349868,15743,2,2012-09-05,0.065629,15344,2,2012-09-01,0.070146
16692,15364,0.345067,16692,2,2012-09-14,0.001711,15364,2,2012-09-01,0.048724
15620,15318,0.344921,15620,2,2012-09-04,0.058207,15318,2,2012-09-01,0.060858
16409,15327,0.34383,16409,2,2012-09-12,0.029975,15327,2,2012-09-01,0.04766
16737,15377,0.341574,16737,2,2012-09-15,0.008778,15377,2,2012-09-01,0.033
15675,15377,0.338258,15675,2,2012-09-04,0.01931,15377,2,2012-09-01,0.033
15551,15317,0.337995,15551,2,2012-09-03,0.014182,15317,2,2012-09-01,0.029217
15621,15345,0.336192,15621,2,2012-09-04,0.030971,15345,2,2012-09-01,0.170566
15925,15344,0.336134,15925,2,2012-09-07,0.031276,15344,2,2012-09-01,0.070146
15738,15324,0.335501,15738,2,2012-09-05,0.007698,15324,2,2012-09-01,0.039487
15678,15374,0.335141,15678,2,2012-09-04,0.383764,15374,2,2012-09-01,0.538701
15618,15324,0.335076,15618,2,2012-09-04,0.046501,15324,2,2012-09-01,0.039487
16728,15344,0.332829,16728,2,2012-09-15,0.079401,15344,2,2012-09-01,0.070146
16381,15333,0.332011,16381,2,2012-09-11,0.065431,15333,2,2012-09-01,0.015547
15893,15344,0.331903,15893,2,2012-09-06,0.062683,15344,2,2012-09-01,0.070146
15620,15344,0.331901,15620,2,2012-09-04,0.058207,15344,2,2012-09-01,0.070146
16491,15377,0.328746,16491,2,2012-09-12,0.00973,15377,2,2012-09-01,0.033
16753,15327,0.327919,16753,2,2012-09-15,0.013139,15327,2,2012-09-01,0.04766
16481,15377,0.325777,16481,2,2012-09-12,0.24125,15377,2,2012-09-01,0.033
16381,15344,0.32433,16381,2,2012-09-11,0.065431,15344,2,2012-09-01,0.070146
16292,15395,0.323735,16292,2,2012-09-10,0.027728,15395,2,2012-09-01,0.030543
16249,15318,0.323399,16249,2,2012-09-10,0.038742,15318,2,2012-09-01,0.060858
16239,15364,0.319412,16239,2,2012-09-10,0.019827,15364,2,2012-09-01,0.048724
16535,15333,0.318066,16535,2,2012-09-13,0.007255,15333,2,2012-09-01,0.015547
16565,15333,0.314349,16565,2,2012-09-13,0.05467,15333,2,2012-09-01,0.015547
15816,15352,0.311321,15816,2,2012-09-06,0.011904,15352,2,2012-09-01,0.126367
16785,15345,0.310814,16785,2,2012-09-15,0.153343,15345,2,2012-09-01,0.170566
16696,15318,0.31056,16696,2,2012-09-14,0.024421,15318,2,2012-09-01,0.060858
15743,15318,0.310009,15743,2,2012-09-05,0.065629,15318,2,2012-09-01,0.060858
16381,15318,0.30809,16381,2,2012-09-11,0.065431,15318,2,2012-09-01,0.060858
16249,15333,0.307799,16249,2,2012-09-10,0.038742,15333,2,2012-09-01,0.015547
15762,15377,0.305575,15762,2,2012-09-05,0.295522,15377,2,2012-09-01,0.033
16251,15374,0.305168,16251,2,2012-09-10,0.322212,15374,2,2012-09-01,0.538701
16249,15344,0.303833,16249,2,2012-09-10,0.038742,15344,2,2012-09-01,0.070146
16415,15324,0.303504,16415,2,2012-09-12,0.002414,15324,2,2012-09-01,0.039487
16668,15302,0.302759,16668,2,2012-09-14,0.007728,15302,2,2012-09-01,0.045076
15474,15330,0.302282,15474,2,2012-09-02,0.033303,15330,2,2012-09-01,0.037289
15714,15344,0.30184,15714,2,2012-09-05,0.009377,15344,2,2012-09-01,0.070146
15801,15333,0.30173,15801,2,2012-09-06,0.006952,15333,2,2012-09-01,0.015547
16421,15344,0.301389,16421,2,2012-09-12,0.046771,15344,2,2012-09-01,0.070146
15654,15344,0.300022,15654,2,2012-09-04,0.010987,15344,2,2012-09-01,0.070146
